gene,pval,logfoldchanges,cluster
CCDC144A,0.07363198902036629,1.7587184,0
SAT1,0.07667349868199376,0.46843722,0
FGFBP2,0.07879060141074586,1.3777084,0
HSP90B1,0.08038935067826199,0.34648508,0
CNKSR2,0.08191762583092695,1.7587184,0
NRGN,0.08266131034560543,24.803173,0
KLF10,0.08322895487490109,0.7090138,0
PBX1,0.08326439096173513,21.369225,0
ACRBP,0.08326439096173513,21.369225,0
PLK1,0.08326439096173513,21.369225,0
PKIB,0.08326439096173513,21.369225,0
GJB6,0.08326439096173513,21.369225,0
LCN2,0.08326439096173513,21.369225,0
CCDC13,0.08326439096173513,21.369225,0
KRT7,0.08326439096173513,21.369225,0
TMEM40,0.08326439096173513,21.369225,0
PYCR1,0.08326439096173513,21.369225,0
AGR3,0.08326439096173513,21.369225,0
TIMD4,0.08326439096173513,21.369225,0
SNCG,0.08326439096173513,21.369225,0
RASSF6,0.08326439096173513,21.369225,0
GP9,0.08326439096173513,21.369225,0
FCRL5,0.08326439096173513,21.369225,0
PDZK1IP1,0.08326439096173513,21.369225,0
CFAP53,0.08326439096173513,21.369225,0
SERPINB2,0.08326439096173513,21.369225,0
CD34,0.08326439096173513,21.369225,0
BGLAP,0.08326439096173513,21.369225,0
FAM177B,0.08326439096173513,21.369225,0
AKR1C1,0.08326439096173513,21.369225,0
BASP1,0.08326439096173513,21.369225,0
APLP2,0.09212339216239343,0.56489724,0
PCNA,0.0978838148442826,0.64880943,0
BIRC5,0.10249616135851754,21.784912,0
CMTM5,0.10249616135851754,21.784912,0
MNDA,0.1055452302731386,0.9854634,0
MYBL2,0.1083270835841703,22.59422,0
CTSS,0.10974445285237212,0.3129435,0
HES1,0.10962652991304854,2.023709,0
TCF7L2,0.11042989184686669,1.6585308,0
IL22,0.11051442588942255,24.256075,0
CDKN1C,0.11112522103293478,1.3777084,0
GAPDH,0.11161543755554192,0.69503444,0
CYBB,0.1194910309122115,1.2451588,0
S100A10,0.12248329238562564,0.4183661,0
S100A6,0.12693661653913257,0.6137852,0
RPL22L1,0.13590904857188935,0.31827068,0
TK1,0.1443706113179934,23.963959,0
CHST2,0.14728606215753534,1.5509639,0
LGALS2,0.14728606215753534,1.5509639,0
MOB3C,0.14975849000475583,1.0237813,0
LXN,0.15638067337804545,0.89926696,0
TRBV14,0.15739280857504895,22.371176,0
GNAZ,0.15739280857504906,20.783611,0
CMTM2,0.15739280857504906,20.783611,0
IGLL1,0.15739280857504906,20.783611,0
LGALSL,0.15739280857504906,20.783611,0
CD19,0.15739280857504906,20.783611,0
IGLV3-1,0.15739280857504906,20.783611,0
ORM2,0.15739280857504906,20.783611,0
CCDC17,0.15739280857504906,20.783611,0
CTSG,0.15739280857504906,20.783611,0
STXBP6,0.15739280857504906,20.783611,0
NKX2-1,0.15739280857504906,20.783611,0
ENHO,0.15739280857504906,20.783611,0
LY6D,0.15739280857504906,20.783611,0
WDR17,0.15739280857504906,20.783611,0
SFN,0.15739280857504906,20.783611,0
ROPN1L,0.15739280857504906,20.783611,0
PAPPA,0.15739280857504906,20.783611,0
AC008268.1,0.15739280857504906,20.783611,0
IL1R2,0.15739280857504906,20.783611,0
SFTA1P,0.15739280857504906,20.783611,0
FCGBP,0.15739280857504906,20.783611,0
PPP1R14A,0.15739280857504906,20.783611,0
TNFAIP6,0.15739280857504906,20.783611,0
CD22,0.15739280857504906,20.783611,0
SIGLEC10,0.15739280857504906,20.783611,0
FOLR2,0.15739280857504906,20.783611,0
UPK3B,0.15739280857504906,20.783611,0
DDR2,0.15739280857504906,20.783611,0
LAMP5,0.15739280857504906,20.783611,0
CDK1,0.15739280857504906,20.783611,0
CENPA,0.15739280857504906,20.783611,0
POU2AF1,0.15739280857504906,20.783611,0
AKR1C2,0.15739280857504906,20.783611,0
IGKV1-12,0.15739280857504906,20.783611,0
ZNF556,0.15739280857504906,20.783611,0
EBI3,0.15739280857504906,20.783611,0
LY6G6F,0.15739280857504906,20.783611,0
PLIN5,0.15739280857504906,20.783611,0
CLEC10A,0.15739280857504906,20.783611,0
JSRP1,0.15739280857504906,20.783611,0
PFKFB2,0.15739280857504906,20.783611,0
PLD4,0.15739280857504906,20.783611,0
FAM210B,0.16072610507864143,0.6435939,0
ANXA2,0.16498942872633984,0.2983741,0
IFITM3,0.16566116623036642,0.3810925,0
PMCH,0.16562058881188976,22.10749,0
CD300E,0.18078967758224837,1.4348351,0
PCCB,0.19096681275986332,0.7812362,0
CDK6,0.20275318629036643,0.48979136,0
LYN,0.2033684067044727,0.911444,0
GTSE1,0.20604641825893844,21.784912,0
FOS,0.21304741911450487,0.6981598,0
HNRNPAB,0.2133331216547385,0.3651801,0
PSMG1,0.21912808170180134,0.6435939,0
S100A4,0.22421297460415776,1.0801204,0
PRKAR2B,0.22541292462974616,22.10749,0
IRF8,0.22884051298798594,1.099464,0
CES1,0.23000452401809549,1.0208093,0
KRT1,0.2297734720016457,1.174117,0
SLC38A5,0.2334624158054293,0.7019255,0
VDAC3,0.23810803951770815,0.29933554,0
CXCL1,0.23820725532025028,1.3086526,0
TMEM176A,0.23820725532025028,1.3086526,0
RECK,0.24075169053890869,0.7598029,0
LYAR,0.24435494016198736,0.31625283,0
ALAD,0.24786416911793416,0.6969034,0
FAM89A,0.2477991946469927,0.8518975,0
TNFSF13B,0.2572113098082616,0.6969034,0
