gene,pval,pval_adj,logfoldchanges,cluster
ZFP36L1,3.139948584563049e-06,7.109317549954073e-05,0.95879483,0
MAP2K2,4.848007553238334e-06,0.00010577471025247274,1.3326002,0
SSR4,5.140955606428803e-06,0.00011016333442347435,0.7593242,0
SERBP1,7.321730674527973e-06,0.00014643461349055946,0.85399103,0
SLC40A1,7.029885226491764e-06,0.00014522784070481536,1.9027667,0
KLRF1,7.140368834653422e-06,0.00014522784070481536,24.117266,0
PHACTR1,7.140368834653422e-06,0.00014522784070481536,24.117266,0
LMO7,7.494619726173785e-06,0.0001474351421542384,3.1900842,0
METAP2,9.333940319719503e-06,0.00018065690941392585,1.0678803,0
SUB1,1.2688154884000281e-05,0.00024167914064762442,0.83375067,0
NPC2,1.5355509264226463e-05,0.00028124201393206466,0.90555733,0
HMBS,1.3976198761984859e-05,0.00026205372678721607,3.0756469,0
PAICS,1.5468310766263558e-05,0.00028124201393206466,1.7933683,0
IER5,1.7880441220455677e-05,0.0003202467084260718,1.4130825,0
LST1,1.9653557928379162e-05,0.00034682749285374996,1.3096371,0
UBAC1,2.0278569943072803e-05,0.0003526707816186574,2.0084088,0
ACTB,2.665690096241806e-05,0.0004442816827069677,6.5461326,0
CCT6A,3.3966532654652685e-05,0.0005488728801797693,0.96754515,0
CD79B,3.430455501123558e-05,0.0005488728801797693,1.5960182,0
RAN,3.651575430530655e-05,0.0005690766904723099,0.773235,0
HEMGN,3.41087353974734e-05,0.0005488728801797693,24.320858,0
SOCS2,3.6463436533391574e-05,0.0005690766904723099,1.5903354,0
TMEM14B,4.3213588870462546e-05,0.0006564089448677856,0.826964,0
CD36,4.21846787468195e-05,0.0006489950576433769,24.117266,0
JUN,5.0139667091523916e-05,0.0007520950063728588,2.2977614,0
NME1,5.265480490283253e-05,0.000780071183745667,1.3605788,0
NUP214,6.971175932776081e-05,0.0009966526824791862,2.1214204,0
SLIRP,8.058246778602209e-05,0.0011244065272468197,0.99568045,0
MKRN1,9.72332264162781e-05,0.0013356950982279896,0.91389537,0
UROS,9.795097387005256e-05,0.0013356950982279896,1.2256093,0
ECI2,0.00010699207147311448,0.0014425897277273861,1.2115651,0
FBLN5,0.00013154302960024063,0.0017539070613365418,1.6537964,0
